alias_id,violation_id,alias_text,alias_type
ND100_5_1_đ_0014_a0,ND100_5_1_đ_0014,"Khi đỗ xe chiếm một phần đường xe chạy không đặt ngay báo hiệu nguy hiểm theo quy định, trừ hành vi vi phạm quy định tại điểm c khoản 6 Điều 5 Nghị định số 100/2019/NĐ-CP và trường hợp đỗ xe tại vị trí quy định được phép đỗ xe (Cụ thể: Điều khiển xe trên đường mà trong máu hoặc hơi thở có nồng độ cồn nhưng chưa vượt quá 50 miligam/100 mililít máu hoặc chưa vượt quá 0,25 miligam/1 lít khí thở.)",canonical
ND100_5_1_c_0015_a0,ND100_5_1_c_0015,"Chuyển hướng không nhường đường cho xe ngược chiều, người đi bộ, xe lăn",canonical
ND100_5_1_g_0016_a0,ND100_5_1_g_0016,"Bấm còi trong đô thị, khu đông dân cư từ 22h đến 5h",canonical
ND100_5_2_c_0017_a0,ND100_5_2_c_0017,Chở người trên buồng lái quá số lượng quy định,canonical
ND100_5_2_b_0018_a0,ND100_5_2_b_0018,Chạy tốc độ thấp hơn không đi về bên phải,canonical
ND100_5_2_đ_0019_a0,ND100_5_2_đ_0019,"Điều khiển xe có liên quan trực tiếp đến vụ tai nạn giao thông mà không dừng lại, không giữ nguyên hiện trường, không tham gia cấp cứu người bị nạn, trừ hành vi vi phạm quy định tại điểm b khoản 8 Điều 5 Nghị định số 100/2019/NĐ-CP (Cụ thể: Gây tai nạn giao thông không dừng lại, không giữ nguyên hiện trường, bỏ trốn không đến trình báo với cơ quan có thẩm quyền, không tham gia cấp cứu người bị nạn)",canonical
ND100_5_2_d_0020_a0,ND100_5_2_d_0020,"Không tuân thủ các quy định về nhường đường tại nơi đường bộ giao nhau, trừ các hành vi vi phạm quy định tại điểm m, điểm n khoản 3 Điều 5 Nghị định số 100/2019/NĐ-CP (Cụ thể: Không giảm tốc độ và nhường đường khi điều khiển xe chạy từ trong ngõ, đường nhánh ra đường chính; Không nhường đường cho xe đi trên đường ưu tiên, đường chính từ bất kỳ hướng nào tới tại nơi đường giao nhau)",canonical
ND100_5_2_a_0021_a0,ND100_5_2_a_0021,"Chuyển làn đường không đúng nơi cho phép hoặc không có tín hiệu báo trước, trừ các hành vi vi phạm quy định tại điểm g khoản 5 Điều 5 Nghị định số 100/2019/NĐ-CP (Cụ thể: Không tuân thủ các quy định khi vào hoặc ra đường cao tốc; điều khiển xe chạy ở làn dừng xe khẩn cấp hoặc phần lề đường của đường cao tốc; chuyển làn đường không đúng nơi cho phép hoặc không có tín hiệu báo trước khi chạy trên đường cao tốc; không tuân thủ quy định về khoảng cách an toàn đối với xe chạy liền trước khi chạy trên đường cao tốc)",canonical
ND100_5_2_i_0022_a0,ND100_5_2_i_0022,Quay đầu xe trái quy định trong khu dân cư,canonical
ND100_5_2_g_0023_a0,ND100_5_2_g_0023,"Vi phạm quy định về dừng, đỗ xe ô tô",canonical
ND100_5_2_h_0024_a0,ND100_5_2_h_0024,"Dừng xe không sát theo lề đường, hè phố phía bên phải theo chiều đi hoặc bánh xe gần nhất cách lề đường, hè phố quá 0,25 m; dừng xe trên đường xe điện, đường dành riêng cho xe buýt; dừng xe trên miệng cống thoát nước, miệng hầm của đường điện thoại, điện cao thế, chỗ dành riêng cho xe chữa cháy lấy nước; rời vị trí lái, tắt máy khi dừng xe; dừng xe, đỗ xe không đúng vị trí quy định ở những đoạn có bố trí nơi dừng xe, đỗ xe; dừng xe, đỗ xe trên phần đường dành cho người đi bộ qua đường; dừng xe nơi có biển “Cấm dừng xe và đỗ xe”, trừ hành vi vi phạm quy định tại điểm i khoản 4, điểm b khoản 6 Điều 5 Nghị định số 100/2019/NĐ-CP (Cụ thể: Lùi xe, quay đầu xe trong hầm đường bộ; dừng xe, đỗ xe, vượt xe trong hầm đường bộ không đúng nơi quy định.; Dừng xe, đỗ xe trên đường cao tốc không đúng nơi quy định; không có báo hiệu để người lái xe khác biết khi buộc phải dừng xe, đỗ xe trên đường cao tốc không đúng nơi quy định; quay đầu xe trên đường cao tốc)",canonical
ND100_5_2_e_0025_a0,ND100_5_2_e_0025,"Sử dụng thiết bị ưu tiên không đúng quy định, không có giấy phép hoặc giấy phép hết giá trị",canonical
ND100_5_2_k_0026_a0,ND100_5_2_k_0026,Quay đầu xe ở nơi cấm,canonical
ND100_5_3_c_0027_a0,ND100_5_3_c_0027,Chuyển hướng không giảm tốc độ hoặc không có tín hiệu báo hướng rẽ,canonical
ND100_5_3_a_0028_a0,ND100_5_3_a_0028,Chạy quá tốc độ quy định từ 05 km/h đến dưới 10 km/h,canonical
ND100_5_3_d_0029_a0,ND100_5_3_d_0029,"Không tuân thủ các quy định về dừng xe, đỗ xe tại nơi đường bộ giao nhau cùng mức với đường sắt; dừng xe, đỗ xe trong phạm vi an toàn của đường sắt, trừ hành vi vi phạm quy định tại điểm b khoản 2, điểm b khoản 3 Điều 49 Nghị định số 100/2019/NĐ-CP (Cụ thể: Để vật chướng ngại lên đường sắt làm cản trở giao thông đường sắt)",canonical
ND100_5_3_đ_0030_a0,ND100_5_3_đ_0030,"Dừng, đỗ xe tại các vị trí bị cấm",canonical
ND100_5_3_b_0031_a0,ND100_5_3_b_0031,"Bấm còi, rú ga liên tục, sử dụng đèn chiếu xa không đúng quy định",canonical
ND100_5_3_k_0032_a0,ND100_5_3_k_0032,Quay đầu xe không đúng nơi quy định,canonical
ND100_5_3_i_0033_a0,ND100_5_3_i_0033,Chở người trên xe được kéo,canonical
ND100_5_3_g_0034_a0,ND100_5_3_g_0034,Không sử dụng hoặc sử dụng không đủ đèn chiếu sáng theo quy định,canonical
ND100_5_3_g_0035_a0,ND100_5_3_g_0035,Sử dụng đèn chiếu xa khi tránh xe đi ngược chiều,canonical
ND100_5_3_e_0036_a0,ND100_5_3_e_0036,"Đỗ xe không sát theo lề đường, hè phố phía bên phải theo chiều đi hoặc bánh xe gần nhất cách lề đường, hè phố quá 0,25 m; đỗ xe trên đường xe điện, đường dành riêng cho xe buýt; đỗ xe trên miệng cống thoát nước, miệng hầm của đường điện thoại, điện cao thế, chỗ dành riêng cho xe chữa cháy lấy nước; đỗ, để xe ở hè phố trái quy định của pháp luật; đỗ xe nơi có biển “Cấm đỗ xe” hoặc biển “Cấm dừng xe và đỗ xe”, trừ hành vi vi phạm quy định tại điểm i khoản 4, điểm b khoản 6 Điều 5 Nghị định số 100/2019/NĐ-CP (Cụ thể: Lùi xe, quay đầu xe trong hầm đường bộ; dừng xe, đỗ xe, vượt xe trong hầm đường bộ không đúng nơi quy định.; Dừng xe, đỗ xe trên đường cao tốc không đúng nơi quy định; không có báo hiệu để người lái xe khác biết khi buộc phải dừng xe, đỗ xe trên đường cao tốc không đúng nơi quy định; quay đầu xe trên đường cao tốc)",canonical
ND100_5_3_h_0037_a0,ND100_5_3_h_0037,"Kéo, đẩy xe khác hoặc vật khác không đúng quy định",canonical
ND100_5_3_p_0038_a0,ND100_5_3_p_0038,Không thắt dây an toàn khi điều khiển xe,canonical
ND100_5_3_m_0039_a0,ND100_5_3_m_0039,"Không giảm tốc độ, nhường đường khi đi từ ngõ, đường nhánh ra đường chính",canonical
ND100_5_3_n_0040_a0,ND100_5_3_n_0040,"Không nhường đường cho xe trên đường ưu tiên, đường chính tại nơi giao nhau",canonical
ND100_5_3_l_0041_a0,ND100_5_3_l_0041,"Không giữ khoảng cách an toàn để xảy ra va chạm với xe chạy liền trước hoặc không giữ khoảng cách theo quy định của biển báo hiệu “Cự ly tối thiểu giữa hai xe”, trừ các hành vi vi phạm quy định tại điểm g khoản 5 Điều 5 Nghị định số 100/2019/NĐ-CP (Cụ thể: Không tuân thủ các quy định khi vào hoặc ra đường cao tốc; điều khiển xe chạy ở làn dừng xe khẩn cấp hoặc phần lề đường của đường cao tốc; chuyển làn đường không đúng nơi cho phép hoặc không có tín hiệu báo trước khi chạy trên đường cao tốc; không tuân thủ quy định về khoảng cách an toàn đối với xe chạy liền trước khi chạy trên đường cao tốc)",canonical
ND100_5_3_o_0042_a0,ND100_5_3_o_0042,"Lùi xe ở đường một chiều, đường có biển “Cấm đi ngược chiều”, khu vực cấm dừng, trên phần đường dành cho người đi bộ qua đường, nơi đường bộ giao nhau, nơi đường bộ giao nhau cùng mức với đường sắt, nơi tầm nhìn bị che khuất; lùi xe không quan sát hoặc không có tín hiệu báo trước, trừ hành vi vi phạm quy định tại điểm a khoản 8 Điều 5 Nghị định số 100/2019/NĐ-CP. (Cụ thể: Điều khiển xe đi ngược chiều trên đường cao tốc, trừ các xe ưu tiên đang đi làm nhiệm vụ khẩn cấp theo quy định; lùi xe trên đường cao tốc, trừ các xe ưu tiên đang đi làm nhiệm vụ khẩn cấp theo quy định)",canonical
ND100_5_3_s_0043_a0,ND100_5_3_s_0043,Chạy dưới tốc độ tối thiểu cho phép,canonical
ND100_5_4_a_0044_a0,ND100_5_4_a_0044,Dùng tay sử dụng điện thoại di động khi đang lái xe,canonical
ND100_5_3_q_0045_a0,ND100_5_3_q_0045,Chở người trên xe không thắt dây an toàn,canonical
ND100_5_3_r_0046_a0,ND100_5_3_r_0046,Chạy trong hầm không dùng đèn chiếu sáng gần,canonical
ND100_5_4_b_0047_a0,ND100_5_4_b_0047,Đi vào khu vực cấm hoặc đường có biển cấm,canonical
ND100_5_4_đ_0048_a0,ND100_5_4_đ_0048,"Dừng, đỗ, quay đầu xe trái quy định gây ùn tắc giao thông",canonical
ND100_5_4_c_0049_a0,ND100_5_4_c_0049,Đi vào làn thu phí tự động không dừng khi xe không đủ điều kiện,canonical
ND100_5_4_g_0050_a0,ND100_5_4_g_0050,Không thực hiện biện pháp bảo đảm an toàn khi xe ô tô hỏng tại nơi giao với đường sắt,canonical
ND100_5_4_d_0051_a0,ND100_5_4_d_0051,"Dừng xe, đỗ xe tại vị trí: Bên trái đường một chiều hoặc bên trái (theo hướng lưu thông) của đường đôi; trên đoạn đường cong hoặc gần đầu dốc nơi tầm nhìn bị che khuất; trên cầu, gầm cầu vượt, song song với một xe khác đang dừng, đỗ, trừ hành vi vi phạm quy định tại điểm b khoản 6 Điều 5 Nghị định số 100/2019/NĐ-CP (Cụ thể: Dừng xe, đỗ xe trên đường cao tốc không đúng nơi quy định; không có báo hiệu để người lái xe khác biết khi buộc phải dừng xe, đỗ xe trên đường cao tốc không đúng nơi quy định; quay đầu xe trên đường cao tốc)",canonical
ND100_5_4_e_0052_a0,ND100_5_4_e_0052,"Xe không ưu tiên lắp đặt, sử dụng tín hiệu của xe ưu tiên",canonical
ND100_5_4_h_0053_a0,ND100_5_4_h_0053,Không nhường đường cho xe xin vượt,canonical
ND100_5_5_b_0054_a0,ND100_5_5_b_0054,Không chấp hành hiệu lệnh của người điều khiển/kiểm soát giao thông,canonical
ND100_5_5_a_0055_a0,ND100_5_5_a_0055,Không chấp hành hiệu lệnh của đèn tín hiệu giao thông,canonical
ND100_5_4_i_0056_a0,ND100_5_4_i_0056,"Lùi, quay đầu, dừng, đỗ, vượt xe trong hầm đường bộ không đúng nơi quy định",canonical
ND100_5_5_c_0057_a0,ND100_5_5_c_0057,Đi ngược chiều,canonical
ND100_5_5_h_0058_a0,ND100_5_5_h_0058,Không nhường đường hoặc cản trở xe ưu tiên,canonical
ND100_5_5_g_0059_a0,ND100_5_5_g_0059,Không tuân thủ quy định khi vào hoặc ra đường cao tốc,canonical
ND100_5_5_g_0060_a0,ND100_5_5_g_0060,Chạy ở làn dừng xe khẩn cấp hoặc phần lề đường của đường cao tốc,canonical
ND100_5_5_g_0061_a0,ND100_5_5_g_0061,Chuyển làn không đúng nơi cho phép hoặc không có tín hiệu báo trước trên đường cao tốc,canonical
ND100_5_5_g_0062_a0,ND100_5_5_g_0062,Không tuân thủ quy định về khoảng cách an toàn trên đường cao tốc,canonical
ND100_5_5_đ_0063_a0,ND100_5_5_đ_0063,"Điều khiển xe không đi bên phải theo chiều đi của mình; đi không đúng phần đường hoặc làn đường quy định (làn cùng chiều hoặc làn ngược chiều) trừ hành vi quy định tại điểm c khoản 4 Điều 5 Nghị định số 100/2019/NĐ-CP; điều khiển xe đi qua dải phân cách cố định ở giữa hai phần đường xe chạy; điều khiển xe đi trên hè phố, trừ trường hợp điều khiển xe đi qua hè phố để vào nhà (Cụ thể: Điều khiển xe không đủ điều kiện để thu phí theo hình thức điện tử tự động không dừng đi vào làn đường dành riêng thu phí theo hình thức điện tử tự động không dừng tại các trạm thu phí)",canonical
ND100_5_5_d_0064_a0,ND100_5_5_d_0064,Vi phạm quy định về vượt xe,canonical
ND100_5_5_e_0065_a0,ND100_5_5_e_0065,"Tránh xe đi ngược chiều không đúng quy định, trừ hành vi vi phạm sử dụng đèn chiếu xa khi tránh xe đi ngược chiều quy định tại điểm g khoản 3 Điều 5 Nghị định số 100/2019/NĐ-CP (Cụ thể: Không sử dụng hoặc sử dụng không đủ đèn chiếu sáng trong thời gian từ 19 giờ ngày hôm trước đến 05 giờ ngày hôm sau, khi sương mù, thời tiết xấu hạn chế tầm nhìn; sử dụng đèn chiếu xa khi tránh xe đi ngược chiều)",canonical
ND100_5_5_e_0066_a0,ND100_5_5_e_0066,"Không nhường đường cho xe đi ngược chiều nơi đường hẹp, dốc, có chướng ngại vật",canonical
ND100_5_6_c_0067_a0,ND100_5_6_c_0067,"Điều khiển xe có nồng độ cồn chưa vượt quá 50 mg/100 ml máu hoặc 0,25 mg/l khí thở",canonical
ND100_5_5_i_0068_a0,ND100_5_5_i_0068,Chạy quá tốc độ quy định từ 10 km/h đến 20 km/h,canonical
ND100_5_6_a_0069_a0,ND100_5_6_a_0069,Chạy quá tốc độ quy định trên 20 km/h đến 35 km/h,canonical
ND100_5_6_b_0070_a0,ND100_5_6_b_0070,"Dừng, đỗ xe trên đường cao tốc không đúng nơi quy định",canonical
ND100_5_6_b_0071_a0,ND100_5_6_b_0071,"Không có báo hiệu khi buộc phải dừng, đỗ xe trên đường cao tốc không đúng nơi quy định",canonical
ND100_5_6_b_0072_a0,ND100_5_6_b_0072,Quay đầu xe trên đường cao tốc,canonical
ND100_5_7_a_0073_a0,ND100_5_7_a_0073,Vi phạm quy tắc giao thông đường bộ gây tai nạn giao thông,canonical
ND100_5_7_c_0074_a0,ND100_5_7_c_0074,Chạy quá tốc độ quy định trên 35 km/h,canonical
ND100_5_8_b_0075_a0,ND100_5_8_b_0075,"Gây tai nạn giao thông không dừng lại, bỏ trốn",canonical
ND100_5_7_b_0076_a0,ND100_5_7_b_0076,"Lạng lách, đánh võng, chạy quá tốc độ đuổi nhau, dùng chân điều khiển vô lăng",canonical
ND100_5_8_c_0077_a0,ND100_5_8_c_0077,Điều khiển xe có nồng độ cồn vượt quá 50-80mg/100ml máu hoặc 0.25-0.4mg/l khí thở,canonical
ND100_5_8_a_0078_a0,ND100_5_8_a_0078,Điều khiển xe đi ngược chiều trên đường cao tốc,canonical
ND100_5_8_a_0079_a0,ND100_5_8_a_0079,Lùi xe trên đường cao tốc,canonical
ND100_5_10_b_0080_a0,ND100_5_10_b_0080,Không chấp hành yêu cầu kiểm tra nồng độ cồn,canonical
ND100_5_10_c_0081_a0,ND100_5_10_c_0081,Điều khiển xe có chất ma túy trong cơ thể,canonical
ND100_5_10_d_0082_a0,ND100_5_10_d_0082,Không chấp hành yêu cầu kiểm tra về chất ma túy,canonical
ND100_5_10_a_0083_a0,ND100_5_10_a_0083,Điều khiển xe có nồng độ cồn vượt mức cao nhất,canonical
ND100_5_9_0084_a0,ND100_5_9_0084,"hành vi vi phạm quy định tại điểm b khoản 7 Điều 5 Nghị định số 100/2019/NĐ-CP mà không chấp hành hiệu lệnh dừng xe của người thi hành công vụ hoặc gây tai nạn giao thông (Cụ thể: Điều khiển xe lạng lách, đánh võng; chạy quá tốc độ đuổi nhau trên đường bộ; dùng chân điều khiển vô lăng xe khi xe đang chạy trên đường)",canonical
ND100_5_11_đ_0085_a0,ND100_5_11_đ_0085,"Thực hiện hành vi quy định tại điểm a, điểm b khoản 8 Điều 5 Nghị định số 100/2019/NĐ-CP (Cụ thể: Điều khiển xe đi ngược chiều trên đường cao tốc, trừ các xe ưu tiên đang đi làm nhiệm vụ khẩn cấp theo quy định; lùi xe trên đường cao tốc, trừ các xe ưu tiên đang đi làm nhiệm vụ khẩn cấp theo quy định; Gây tai nạn giao thông không dừng lại, không giữ nguyên hiện trường, bỏ trốn không đến trình báo với cơ quan có thẩm quyền, không tham gia cấp cứu người bị nạn)",canonical
ND100_5_11_a_0086_a0,ND100_5_11_a_0086,"Thực hiện hành vi quy định tại điểm e khoản 4 Điều 5 Nghị định số 100/2019/NĐ-CP (Cụ thể: Xe không được quyền ưu tiên lắp đặt, sử dụng thiết bị phát tín hiệu của xe được quyền ưu tiên)",canonical
ND100_5_11_b_0087_a0,ND100_5_11_b_0087,"Thực hiện hành vi quy định tại điểm đ khoản 2; điểm h, điểm i khoản 3; khoản 4; điểm a, điểm b, điểm d, điểm đ, điểm g, điểm h, điểm i khoản 5 Điều 5 Nghị định số 100/2019/NĐ-CP (Cụ thể: Điều khiển xe ô tô kéo theo xe khác, vật khác (trừ trường hợp kéo theo một rơ moóc, sơ mi rơ moóc hoặc một xe ô tô, xe máy chuyên dùng khác khi xe này không tự chạy được); điều khiển xe ô tô đẩy xe khác, vật khác; điều khiển xe kéo rơ moóc, sơ mi rơ moóc kéo thêm rơ moóc hoặc xe khác, vật khác; không nối chắc chắn, an toàn giữa xe kéo và xe được kéo khi kéo nhau;; Chở người trên xe được kéo, trừ người điều khiển; Dùng tay sử dụng điện thoại di động khi đang điều khiển xe chạy trên đường; Đi vào khu vực cấm, đường có biển báo hiệu có nội dung cấm đi vào đối với loại phương tiện đang điều khiển; Dừng xe, đỗ xe, quay đầu xe trái quy định gây ùn tắc giao thông; Điều khiển xe không đủ điều kiện để thu phí theo hình thức điện tử tự động không dừng đi vào làn đường dành riêng thu phí theo hình thức điện tử tự động không dừng tại các trạm thu phí; Không thực hiện biện pháp bảo đảm an toàn theo quy định khi xe ô tô bị hư hỏng ngay tại nơi đường bộ giao nhau cùng mức với đường sắt; Xe không được quyền ưu tiên lắp đặt, sử dụng thiết bị phát tín hiệu của xe được quyền ưu tiên; Không nhường đường cho xe xin vượt khi có đủ điều kiện an toàn; Lùi xe, quay đầu xe trong hầm đường bộ; dừng xe, đỗ xe, vượt xe trong hầm đường bộ không đúng nơi quy định.; Không chấp hành hiệu lệnh của đèn tín hiệu giao thông; Không chấp hành hiệu lệnh, hướng dẫn của người điều khiển giao thông hoặc người kiểm soát giao thông; Vượt xe trong những trường hợp không được vượt, vượt xe tại đoạn đường có biển báo hiệu có nội dung cấm vượt (đối với loại phương tiện đang điều khiển); không có báo hiệu trước khi vượt; vượt bên phải xe khác trong trường hợp không được phép, trừ trường hợp tại đoạn đường có nhiều làn đường cho xe đi cùng chiều được phân biệt bằng vạch kẻ phân làn đường mà xe chạy trên làn đường bên phải chạy nhanh hơn xe đang chạy trên làn đường bên trái;; Không tuân thủ các quy định khi vào hoặc ra đường cao tốc; điều khiển xe chạy ở làn dừng xe khẩn cấp hoặc phần lề đường của đường cao tốc; chuyển làn đường không đúng nơi cho phép hoặc không có tín hiệu báo trước khi chạy trên đường cao tốc; không tuân thủ quy định về khoảng cách an toàn đối với xe chạy liền trước khi chạy trên đường cao tốc; Không nhường đường hoặc gây cản trở xe được quyền ưu tiên đang phát tín hiệu ưu tiên đi làm nhiệm vụ; Điều khiển xe chạy quá tốc độ quy định từ 10 km/h đến 20 km/h.)",canonical
ND100_5_11_c_0088_a0,ND100_5_11_c_0088,"Thực hiện hành vi quy định tại điểm c khoản 5; điểm a, điểm b khoản 6; khoản 7 Điều 5 Nghị định số 100/2019/NĐ-CP (Cụ thể: Đi ngược chiều của đường một chiều, đi ngược chiều trên đường có biển “Cấm đi ngược chiều”; Điều khiển xe chạy quá tốc độ quy định trên 20 km/h đến 35 km/h; Dừng xe, đỗ xe trên đường cao tốc không đúng nơi quy định; không có báo hiệu để người lái xe khác biết khi buộc phải dừng xe, đỗ xe trên đường cao tốc không đúng nơi quy định; quay đầu xe trên đường cao tốc; Không chú ý quan sát, điều khiển xe chạy quá tốc độ quy định gây tai nạn giao thông; dừng xe, đỗ xe, quay đầu xe, lùi xe, tránh xe, vượt xe, chuyển hướng, chuyển làn đường không đúng quy định gây tai nạn giao thông; không đi đúng phần đường, làn đường, không giữ khoảng cách an toàn giữa hai xe theo quy định gây tai nạn giao thông hoặc đi vào đường có biển báo hiệu có nội dung cấm đi vào đối với loại phương tiện đang điều khiển, đi ngược chiều của đường một chiều, đi ngược chiều trên đường có biển “Cấm đi ngược chiều” gây tai nạn giao thông; Điều khiển xe chạy quá tốc độ quy định trên 35 km/h.; Điều khiển xe lạng lách, đánh võng; chạy quá tốc độ đuổi nhau trên đường bộ; dùng chân điều khiển vô lăng xe khi xe đang chạy trên đường)",canonical
